id,followers_count,friends_count,created_at,group
375,241,341,1/17/2012,2
160,3997,4393,1/18/2012,2
70,0,0,3/28/2012,2
500,415,481,8/31/2010,1
73,546,266,7/15/2010,1
197,204,459,7/21/2010,1
124,1171,182,3/3/2009,1
71,1,0,1/17/2012,2
208,0,0,1/16/2012,2
183,0,0,1/18/2012,2
265,535,331,6/26/2012,1
172,3624,4054,4/27/2012,2
318,591,525,2/9/2012,1
443,4516,4618,1/19/2012,2
354,4025,4423,1/17/2012,2
214,13095,7672,10/24/2008,1
39,3913,165,6/9/2010,1
255,378,624,11/15/2010,1
31,1,0,1/17/2012,2
234,1632,2003,1/7/2014,2
211,451,406,4/23/2012,1
407,3550,3910,3/26/2012,2
303,41442,4967,3/11/2009,1
271,0,0,1/17/2012,2
370,0,0,1/17/2012,2
497,314,394,1/17/2012,2
328,1,0,1/18/2012,2
166,0,0,1/16/2012,2
106,5559,6103,6/21/2012,2
418,287,419,3/14/2012,1
410,230,222,4/1/2012,1
380,348,317,5/1/2012,1
330,589,517,12/21/2007,1
376,0,0,1/17/2012,2
237,350,791,8/15/2010,1
364,136,116,9/13/2010,1
139,606,270,10/5/2007,1
50,269,98,2/5/2009,1
52,4214,4343,5/1/2012,2
356,216,236,1/22/2009,1
495,44,78,1/20/2014,1
287,1500,1764,3/16/2013,2
26,15,27,1/17/2012,2
219,361,349,3/6/2009,1
238,423,152,4/28/2008,1
491,865,250,5/13/2012,1
371,183,300,5/8/2012,1
264,0,0,1/18/2012,2
206,1,0,1/18/2012,2
315,268,335,1/18/2012,2
23,0,0,1/17/2012,2
311,77,111,3/18/2009,1
36,2867,3068,1/5/2014,2
101,4974,5165,1/3/2014,2
277,4289,4559,3/28/2012,2
257,370,330,12/13/2013,1
389,458,455,12/12/2010,1
444,449,161,1/5/2014,2
226,2,0,1/17/2012,2
399,5,13,1/18/2012,2
95,170,271,3/20/2012,1
5,339,320,2/13/2012,1
49,1,0,1/18/2012,2
225,541,467,9/4/2007,1
231,242,233,11/18/2010,1
440,432,315,2/23/2009,1
263,4593,4793,1/17/2012,2
155,570,854,3/16/2013,2
374,255,225,4/12/2012,1
296,214,202,10/19/2013,1
230,5644,4714,5/15/2012,2
269,249,289,12/6/2013,1
408,42,203,2/19/2014,1
445,0,0,1/16/2012,2
228,344,434,9/13/2010,1
121,1522,1991,4/22/2012,2
446,2634,888,12/30/2008,1
341,0,0,1/17/2012,2
193,5089,5293,1/4/2014,2
122,0,0,1/17/2012,2
47,1972,1765,1/17/2012,2
323,4371,4649,1/17/2012,2
306,4887,5250,6/21/2012,2
15,865,937,3/16/2013,2
46,398,301,3/21/2007,1
108,1519,462,4/26/2012,1
266,1,0,3/28/2012,2
441,1227,413,3/12/2009,1
461,133,98,12/1/2013,1
239,29,41,1/18/2012,2
365,388,177,2/20/2009,1
473,27789,1403,3/13/2009,1
319,4423,4359,1/17/2012,2
493,200,78,2/16/2009,1
130,791,194,9/19/2013,1
427,49,191,12/13/2013,1
270,223,177,5/17/2012,1
42,164,397,4/15/2012,1
240,3232,2439,5/7/2012,1
105,25,36,1/18/2012,2
142,92,94,6/23/2010,1
181,2280,801,11/15/2010,1
470,665,1168,3/4/2009,1
163,1461,1448,3/5/2009,1
58,79,301,1/18/2012,2
222,4683,4580,6/21/2012,2
468,0,0,1/18/2012,2
325,308,326,1/27/2009,1
402,772,931,11/13/2008,1
466,3719,3838,1/17/2012,2
13,141,311,10/14/2010,1
79,1192,113,4/29/2012,1
373,6325,2,1/8/2013,2
103,236,504,9/8/2013,1
395,324,238,2/17/2012,1
